on cpu
loading data ... from src/model/gnn/dataset/cmt-conference/cmt_conference_Ontology_Node_Embeddings.txt
src/model/gnn/dataset/cmt-conference/cmt_conference_Ontology_Edge_List.txt
src/model/gnn/dataset/cmt-conference/prog_seed_pairs.txt
src/model/gnn/dataset/cmt-conference/pos_neg_pairs.txt
done
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0016
ITER=3, #Train=119, #HeldOut=2884, #Test=3003
Test Set Loss 1.0966 | Precision 0.0074 | Recall 1.0000 | F1 0.0147 | AUC 0.7344 | trainTime 0.4123 | exSelTime 156.9524 | testTime 0.0021 | numPos 1.0000 | numNeg 118.0000
Epoch 0099 | Eval Loss 0.6868 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0029
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0064
Epoch 0099 | Eval Loss 0.6868 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0065
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0029
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0043
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0042
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0043
Epoch 0099 | Eval Loss 0.6868 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0065
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0103
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0083
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0053
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0050
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0039
Epoch 0099 | Eval Loss 0.6900 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0021
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0063
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0021
Epoch 0099 | Eval Loss 0.6836 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0022
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0023
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0045
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0022
Epoch 0099 | Eval Loss 0.6909 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0015
ITER=4, #Train=157, #HeldOut=2846, #Test=3003
Test Set Loss 1.1037 | Precision 0.0074 | Recall 1.0000 | F1 0.0148 | AUC 0.7050 | trainTime 0.4123 | exSelTime 152.4839 | testTime 0.0023 | numPos 1.0000 | numNeg 156.0000
Epoch 0099 | Eval Loss 0.6908 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0065
Epoch 0099 | Eval Loss 0.6908 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0063
Epoch 0099 | Eval Loss 0.6883 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0027
Epoch 0099 | Eval Loss 0.6884 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0048
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0071
Epoch 0099 | Eval Loss 0.6908 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0019
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0064
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0035
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0032
Epoch 0099 | Eval Loss 0.6884 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0048
Epoch 0099 | Eval Loss 0.6908 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0067
Epoch 0099 | Eval Loss 0.6908 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0043
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0068
Epoch 0099 | Eval Loss 0.6908 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0021
Epoch 0099 | Eval Loss 0.6883 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0052
Epoch 0099 | Eval Loss 0.6908 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0020
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0064
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0024
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0061
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0032
